protocol,success,hops,messages,match_error,utility,ttl,episode
Epidemic,0,10,22,,0.0,10,0
Epidemic,0,10,80,,0.0,10,1
Epidemic,0,10,47,,0.0,10,2
Epidemic,0,10,60,,0.0,10,3
Epidemic,0,10,22,,0.0,10,4
Epidemic,0,10,78,,0.0,10,5
Epidemic,1,6,47,0.5675247251742137,0.2619815282283126,10,6
Epidemic,1,6,56,0.9772527994639524,0.17198152822831259,10,7
Epidemic,0,10,1,,0.0,10,8
Epidemic,0,10,80,,0.0,10,9
Epidemic,0,10,81,,0.0,10,10
Epidemic,0,10,27,,0.0,10,11
Epidemic,0,10,81,,0.0,10,12
Epidemic,0,10,58,,0.0,10,13
Epidemic,1,5,14,0.7935699766683281,0.6310515858035664,10,14
Epidemic,1,8,76,0.7608006254493906,0.0,10,15
Epidemic,0,10,84,,0.0,10,16
Epidemic,0,10,78,,0.0,10,17
Epidemic,0,10,60,,0.0,10,18
Epidemic,1,6,54,0.825403078327161,0.1919815282283126,10,19
Epidemic,0,10,72,,0.0,10,20
Epidemic,0,10,64,,0.0,10,21
Epidemic,1,3,39,0.6648234550984353,0.46555919037101845,10,22
Epidemic,1,7,57,0.8851011493282883,0.12489119474291055,10,23
Epidemic,0,10,84,,0.0,10,24
Epidemic,0,10,75,,0.0,10,25
Epidemic,0,10,22,,0.0,10,26
Epidemic,1,7,61,0.7065021390317329,0.08489119474291063,10,27
Epidemic,0,10,47,,0.0,10,28
Epidemic,0,10,81,,0.0,10,29
Epidemic,0,10,60,,0.0,10,30
Epidemic,0,10,60,,0.0,10,31
Epidemic,0,10,78,,0.0,10,32
Epidemic,1,9,74,0.9315658165484803,0.0,10,33
Epidemic,0,10,38,,0.0,10,34
Epidemic,1,1,16,0.7663813258550081,0.7893288668428896,10,35
Epidemic,0,10,76,,0.0,10,36
Epidemic,0,10,72,,0.0,10,37
Epidemic,0,10,69,,0.0,10,38
Epidemic,0,10,81,,0.0,10,39
Epidemic,1,3,9,0.9759400723078907,0.7655591903710185,10,40
Epidemic,1,5,40,0.9365843071771669,0.37105158580356634,10,41
Epidemic,1,5,17,0.8522999156655556,0.6010515858035663,10,42
Epidemic,1,2,17,0.8420865093207064,0.7312252974212047,10,43
Epidemic,0,10,73,,0.0,10,44
Epidemic,1,5,46,0.5412956363710841,0.31105158580356634,10,45
Epidemic,0,10,22,,0.0,10,46
Epidemic,0,10,76,,0.0,10,47
Epidemic,0,10,0,,0.0,10,48
Epidemic,0,10,75,,0.0,10,49
Epidemic,0,10,58,,0.0,10,50
Epidemic,0,10,77,,0.0,10,51
Epidemic,1,3,14,0.9038520457764452,0.7155591903710184,10,52
Epidemic,0,10,0,,0.0,10,53
Epidemic,1,4,49,0.552229717151004,0.32220703671193895,10,54
Epidemic,1,6,40,0.9760285996433131,0.3319815282283126,10,55
Epidemic,1,1,16,0.957009469677034,0.7893288668428896,10,56
Epidemic,0,10,76,,0.0,10,57
Epidemic,0,10,27,,0.0,10,58
Epidemic,0,10,74,,0.0,10,59
Epidemic,0,10,72,,0.0,10,60
Epidemic,0,10,66,,0.0,10,61
Epidemic,0,10,69,,0.0,10,62
Epidemic,0,10,73,,0.0,10,63
Epidemic,0,10,47,,0.0,10,64
Epidemic,0,10,0,,0.0,10,65
Epidemic,0,10,3,,0.0,10,66
Epidemic,1,3,14,0.7228201970482949,0.7155591903710184,10,67
Epidemic,0,10,77,,0.0,10,68
Epidemic,0,10,78,,0.0,10,69
Epidemic,0,10,78,,0.0,10,70
Epidemic,0,10,1,,0.0,10,71
Epidemic,1,4,16,0.7146279854460366,0.6522070367119389,10,72
Epidemic,0,10,85,,0.0,10,73
Epidemic,0,10,38,,0.0,10,74
Epidemic,0,10,75,,0.0,10,75
Epidemic,0,10,72,,0.0,10,76
Epidemic,0,10,76,,0.0,10,77
Epidemic,0,10,72,,0.0,10,78
Epidemic,0,10,85,,0.0,10,79
Epidemic,0,10,81,,0.0,10,80
Epidemic,0,10,72,,0.0,10,81
Epidemic,1,2,4,0.43865264058712106,0.8612252974212047,10,82
Epidemic,1,3,39,0.8613487522550316,0.46555919037101845,10,83
Epidemic,0,10,73,,0.0,10,84
Epidemic,1,9,56,0.9013374988726455,0.06625352365755599,10,85
Epidemic,0,10,55,,0.0,10,86
Epidemic,1,9,43,0.9240368762759039,0.19625352365755605,10,87
Epidemic,0,10,75,,0.0,10,88
Epidemic,0,10,73,,0.0,10,89
Epidemic,0,10,47,,0.0,10,90
Epidemic,1,8,39,0.9776219732282694,0.26968027048438903,10,91
Epidemic,0,10,3,,0.0,10,92
Epidemic,0,10,74,,0.0,10,93
Epidemic,0,10,57,,0.0,10,94
Epidemic,1,6,60,0.9063090333200698,0.13198152822831266,10,95
Epidemic,0,10,47,,0.0,10,96
Epidemic,0,10,74,,0.0,10,97
Epidemic,0,10,0,,0.0,10,98
