protocol,success,hops,messages,match_error,utility,N,ttl,epsilon,alpha,metric,seed
Epidemic,0,10,33,,0.0,100,10,0.5,0.05,l1,38102
RandomWalk,0,3,3,,0.0,100,10,0.5,0.05,l1,38102
Heuristic-MADTSR,0,7,7,,0.0,100,10,0.5,0.05,l1,38102
RL-MADTSR,0,0,0,,0.0,100,10,0.5,0.05,l1,38102
Epidemic,0,20,48,,0.0,100,20,0.5,0.05,l1,38102
RandomWalk,0,7,7,,0.0,100,20,0.5,0.05,l1,38102
Heuristic-MADTSR,0,6,6,,0.0,100,20,0.5,0.05,l1,38102
RL-MADTSR,0,0,0,,0.0,100,20,0.5,0.05,l1,38102
Epidemic,0,30,48,,0.0,100,30,0.5,0.05,l1,38102
RandomWalk,0,10,10,,0.0,100,30,0.5,0.05,l1,38102
Heuristic-MADTSR,0,5,5,,0.0,100,30,0.5,0.05,l1,38102
RL-MADTSR,0,0,0,,0.0,100,30,0.5,0.05,l1,38102
Epidemic,0,40,48,,0.0,100,40,0.5,0.05,l1,38102
RandomWalk,0,17,17,,0.0,100,40,0.5,0.05,l1,38102
Heuristic-MADTSR,0,7,7,,0.0,100,40,0.5,0.05,l1,38102
RL-MADTSR,0,0,0,,0.0,100,40,0.5,0.05,l1,38102
Epidemic,0,10,1,,0.0,100,10,0.5,0.05,l1,23876
RandomWalk,0,10,10,,0.0,100,10,0.5,0.05,l1,23876
Heuristic-MADTSR,0,0,0,,0.0,100,10,0.5,0.05,l1,23876
RL-MADTSR,0,10,10,,0.0,100,10,0.5,0.05,l1,23876
Epidemic,0,20,1,,0.0,100,20,0.5,0.05,l1,23876
RandomWalk,0,14,14,,0.0,100,20,0.5,0.05,l1,23876
Heuristic-MADTSR,0,0,0,,0.0,100,20,0.5,0.05,l1,23876
RL-MADTSR,0,14,14,,0.0,100,20,0.5,0.05,l1,23876
Epidemic,0,30,1,,0.0,100,30,0.5,0.05,l1,23876
RandomWalk,0,5,5,,0.0,100,30,0.5,0.05,l1,23876
Heuristic-MADTSR,0,0,0,,0.0,100,30,0.5,0.05,l1,23876
RL-MADTSR,0,14,14,,0.0,100,30,0.5,0.05,l1,23876
Epidemic,0,40,1,,0.0,100,40,0.5,0.05,l1,23876
RandomWalk,0,11,11,,0.0,100,40,0.5,0.05,l1,23876
Heuristic-MADTSR,0,0,0,,0.0,100,40,0.5,0.05,l1,23876
RL-MADTSR,0,14,14,,0.0,100,40,0.5,0.05,l1,23876
Epidemic,0,10,59,,0.0,100,10,0.5,0.05,l1,30151
RandomWalk,0,2,2,,0.0,100,10,0.5,0.05,l1,30151
Heuristic-MADTSR,0,2,2,,0.0,100,10,0.5,0.05,l1,30151
RL-MADTSR,0,10,10,,0.0,100,10,0.5,0.05,l1,30151
Epidemic,0,20,66,,0.0,100,20,0.5,0.05,l1,30151
RandomWalk,0,2,2,,0.0,100,20,0.5,0.05,l1,30151
Heuristic-MADTSR,0,2,2,,0.0,100,20,0.5,0.05,l1,30151
RL-MADTSR,0,18,18,,0.0,100,20,0.5,0.05,l1,30151
Epidemic,0,30,66,,0.0,100,30,0.5,0.05,l1,30151
RandomWalk,0,2,2,,0.0,100,30,0.5,0.05,l1,30151
Heuristic-MADTSR,0,2,2,,0.0,100,30,0.5,0.05,l1,30151
RL-MADTSR,0,18,18,,0.0,100,30,0.5,0.05,l1,30151
Epidemic,0,40,66,,0.0,100,40,0.5,0.05,l1,30151
RandomWalk,0,2,2,,0.0,100,40,0.5,0.05,l1,30151
Heuristic-MADTSR,0,2,2,,0.0,100,40,0.5,0.05,l1,30151
RL-MADTSR,0,18,18,,0.0,100,40,0.5,0.05,l1,30151
Epidemic,0,10,59,,0.0,100,10,0.5,0.05,l1,68370
RandomWalk,0,10,10,,0.0,100,10,0.5,0.05,l1,68370
Heuristic-MADTSR,0,3,3,,0.0,100,10,0.5,0.05,l1,68370
RL-MADTSR,0,2,2,,0.0,100,10,0.5,0.05,l1,68370
Epidemic,0,20,59,,0.0,100,20,0.5,0.05,l1,68370
RandomWalk,0,16,16,,0.0,100,20,0.5,0.05,l1,68370
Heuristic-MADTSR,0,3,3,,0.0,100,20,0.5,0.05,l1,68370
RL-MADTSR,0,2,2,,0.0,100,20,0.5,0.05,l1,68370
Epidemic,0,30,59,,0.0,100,30,0.5,0.05,l1,68370
RandomWalk,0,18,18,,0.0,100,30,0.5,0.05,l1,68370
Heuristic-MADTSR,0,3,3,,0.0,100,30,0.5,0.05,l1,68370
RL-MADTSR,0,2,2,,0.0,100,30,0.5,0.05,l1,68370
Epidemic,0,40,59,,0.0,100,40,0.5,0.05,l1,68370
RandomWalk,0,18,18,,0.0,100,40,0.5,0.05,l1,68370
Heuristic-MADTSR,0,3,3,,0.0,100,40,0.5,0.05,l1,68370
RL-MADTSR,0,2,2,,0.0,100,40,0.5,0.05,l1,68370
Epidemic,0,10,3,,0.0,100,10,0.5,0.05,l1,63028
RandomWalk,0,1,1,,0.0,100,10,0.5,0.05,l1,63028
Heuristic-MADTSR,0,10,10,,0.0,100,10,0.5,0.05,l1,63028
RL-MADTSR,0,10,10,,0.0,100,10,0.5,0.05,l1,63028
Epidemic,0,20,3,,0.0,100,20,0.5,0.05,l1,63028
RandomWalk,0,1,1,,0.0,100,20,0.5,0.05,l1,63028
Heuristic-MADTSR,0,9,9,,0.0,100,20,0.5,0.05,l1,63028
RL-MADTSR,0,15,15,,0.0,100,20,0.5,0.05,l1,63028
Epidemic,0,30,3,,0.0,100,30,0.5,0.05,l1,63028
RandomWalk,0,1,1,,0.0,100,30,0.5,0.05,l1,63028
Heuristic-MADTSR,0,18,18,,0.0,100,30,0.5,0.05,l1,63028
RL-MADTSR,0,15,15,,0.0,100,30,0.5,0.05,l1,63028
Epidemic,0,40,3,,0.0,100,40,0.5,0.05,l1,63028
RandomWalk,0,1,1,,0.0,100,40,0.5,0.05,l1,63028
Heuristic-MADTSR,0,8,8,,0.0,100,40,0.5,0.05,l1,63028
RL-MADTSR,0,15,15,,0.0,100,40,0.5,0.05,l1,63028
Epidemic,0,10,7,,0.0,100,10,0.5,0.05,l1,60719
RandomWalk,0,4,4,,0.0,100,10,0.5,0.05,l1,60719
Heuristic-MADTSR,0,3,3,,0.0,100,10,0.5,0.05,l1,60719
RL-MADTSR,0,10,10,,0.0,100,10,0.5,0.05,l1,60719
Epidemic,0,20,7,,0.0,100,20,0.5,0.05,l1,60719
RandomWalk,0,3,3,,0.0,100,20,0.5,0.05,l1,60719
Heuristic-MADTSR,0,7,7,,0.0,100,20,0.5,0.05,l1,60719
RL-MADTSR,0,14,14,,0.0,100,20,0.5,0.05,l1,60719
Epidemic,0,30,7,,0.0,100,30,0.5,0.05,l1,60719
RandomWalk,0,5,5,,0.0,100,30,0.5,0.05,l1,60719
Heuristic-MADTSR,0,3,3,,0.0,100,30,0.5,0.05,l1,60719
RL-MADTSR,0,14,14,,0.0,100,30,0.5,0.05,l1,60719
Epidemic,0,40,7,,0.0,100,40,0.5,0.05,l1,60719
RandomWalk,0,5,5,,0.0,100,40,0.5,0.05,l1,60719
Heuristic-MADTSR,0,7,7,,0.0,100,40,0.5,0.05,l1,60719
RL-MADTSR,0,14,14,,0.0,100,40,0.5,0.05,l1,60719
Epidemic,0,10,8,,0.0,100,10,0.5,0.05,l1,36181
RandomWalk,0,3,3,,0.0,100,10,0.5,0.05,l1,36181
Heuristic-MADTSR,0,2,2,,0.0,100,10,0.5,0.05,l1,36181
RL-MADTSR,0,5,5,,0.0,100,10,0.5,0.05,l1,36181
Epidemic,0,20,8,,0.0,100,20,0.5,0.05,l1,36181
RandomWalk,0,5,5,,0.0,100,20,0.5,0.05,l1,36181
Heuristic-MADTSR,0,2,2,,0.0,100,20,0.5,0.05,l1,36181
RL-MADTSR,0,5,5,,0.0,100,20,0.5,0.05,l1,36181
Epidemic,0,30,8,,0.0,100,30,0.5,0.05,l1,36181
RandomWalk,0,4,4,,0.0,100,30,0.5,0.05,l1,36181
Heuristic-MADTSR,0,2,2,,0.0,100,30,0.5,0.05,l1,36181
RL-MADTSR,0,5,5,,0.0,100,30,0.5,0.05,l1,36181
Epidemic,0,40,8,,0.0,100,40,0.5,0.05,l1,36181
RandomWalk,0,2,2,,0.0,100,40,0.5,0.05,l1,36181
Heuristic-MADTSR,0,2,2,,0.0,100,40,0.5,0.05,l1,36181
RL-MADTSR,0,5,5,,0.0,100,40,0.5,0.05,l1,36181
Epidemic,0,10,1,,0.0,100,10,0.5,0.05,l1,95969
RandomWalk,0,0,0,,0.0,100,10,0.5,0.05,l1,95969
Heuristic-MADTSR,0,2,2,,0.0,100,10,0.5,0.05,l1,95969
RL-MADTSR,0,10,10,,0.0,100,10,0.5,0.05,l1,95969
Epidemic,0,20,1,,0.0,100,20,0.5,0.05,l1,95969
RandomWalk,0,0,0,,0.0,100,20,0.5,0.05,l1,95969
Heuristic-MADTSR,0,2,2,,0.0,100,20,0.5,0.05,l1,95969
RL-MADTSR,0,14,14,,0.0,100,20,0.5,0.05,l1,95969
Epidemic,0,30,1,,0.0,100,30,0.5,0.05,l1,95969
RandomWalk,0,0,0,,0.0,100,30,0.5,0.05,l1,95969
Heuristic-MADTSR,0,2,2,,0.0,100,30,0.5,0.05,l1,95969
RL-MADTSR,0,14,14,,0.0,100,30,0.5,0.05,l1,95969
Epidemic,0,40,1,,0.0,100,40,0.5,0.05,l1,95969
RandomWalk,0,0,0,,0.0,100,40,0.5,0.05,l1,95969
Heuristic-MADTSR,0,2,2,,0.0,100,40,0.5,0.05,l1,95969
RL-MADTSR,0,14,14,,0.0,100,40,0.5,0.05,l1,95969
Epidemic,0,10,41,,0.0,100,10,0.5,0.05,l1,8764
RandomWalk,0,2,2,,0.0,100,10,0.5,0.05,l1,8764
Heuristic-MADTSR,0,8,8,,0.0,100,10,0.5,0.05,l1,8764
RL-MADTSR,0,6,6,,0.0,100,10,0.5,0.05,l1,8764
Epidemic,0,20,41,,0.0,100,20,0.5,0.05,l1,8764
RandomWalk,0,2,2,,0.0,100,20,0.5,0.05,l1,8764
Heuristic-MADTSR,0,8,8,,0.0,100,20,0.5,0.05,l1,8764
RL-MADTSR,0,6,6,,0.0,100,20,0.5,0.05,l1,8764
Epidemic,0,30,41,,0.0,100,30,0.5,0.05,l1,8764
RandomWalk,0,2,2,,0.0,100,30,0.5,0.05,l1,8764
Heuristic-MADTSR,0,5,5,,0.0,100,30,0.5,0.05,l1,8764
RL-MADTSR,0,6,6,,0.0,100,30,0.5,0.05,l1,8764
Epidemic,0,40,41,,0.0,100,40,0.5,0.05,l1,8764
RandomWalk,0,2,2,,0.0,100,40,0.5,0.05,l1,8764
Heuristic-MADTSR,0,9,9,,0.0,100,40,0.5,0.05,l1,8764
RL-MADTSR,0,6,6,,0.0,100,40,0.5,0.05,l1,8764
Epidemic,0,10,52,,0.0,100,10,0.5,0.05,l1,34259
RandomWalk,0,8,8,,0.0,100,10,0.5,0.05,l1,34259
Heuristic-MADTSR,0,9,9,,0.0,100,10,0.5,0.05,l1,34259
RL-MADTSR,0,10,10,,0.0,100,10,0.5,0.05,l1,34259
Epidemic,0,20,77,,0.0,100,20,0.5,0.05,l1,34259
RandomWalk,0,8,8,,0.0,100,20,0.5,0.05,l1,34259
Heuristic-MADTSR,0,14,14,,0.0,100,20,0.5,0.05,l1,34259
RL-MADTSR,0,20,20,,0.0,100,20,0.5,0.05,l1,34259
Epidemic,0,30,77,,0.0,100,30,0.5,0.05,l1,34259
RandomWalk,0,12,12,,0.0,100,30,0.5,0.05,l1,34259
Heuristic-MADTSR,0,27,27,,0.0,100,30,0.5,0.05,l1,34259
RL-MADTSR,0,21,21,,0.0,100,30,0.5,0.05,l1,34259
Epidemic,0,40,77,,0.0,100,40,0.5,0.05,l1,34259
RandomWalk,0,3,3,,0.0,100,40,0.5,0.05,l1,34259
Heuristic-MADTSR,0,4,4,,0.0,100,40,0.5,0.05,l1,34259
RL-MADTSR,0,21,21,,0.0,100,40,0.5,0.05,l1,34259
Epidemic,0,10,7,,0.0,100,10,0.5,0.05,l1,11800
RandomWalk,0,3,3,,0.0,100,10,0.5,0.05,l1,11800
Heuristic-MADTSR,0,10,10,,0.0,100,10,0.5,0.05,l1,11800
RL-MADTSR,0,5,5,,0.0,100,10,0.5,0.05,l1,11800
Epidemic,0,20,7,,0.0,100,20,0.5,0.05,l1,11800
RandomWalk,0,6,6,,0.0,100,20,0.5,0.05,l1,11800
Heuristic-MADTSR,0,17,17,,0.0,100,20,0.5,0.05,l1,11800
RL-MADTSR,0,5,5,,0.0,100,20,0.5,0.05,l1,11800
Epidemic,0,30,7,,0.0,100,30,0.5,0.05,l1,11800
RandomWalk,0,15,15,,0.0,100,30,0.5,0.05,l1,11800
Heuristic-MADTSR,0,17,17,,0.0,100,30,0.5,0.05,l1,11800
RL-MADTSR,0,5,5,,0.0,100,30,0.5,0.05,l1,11800
Epidemic,0,40,7,,0.0,100,40,0.5,0.05,l1,11800
RandomWalk,0,6,6,,0.0,100,40,0.5,0.05,l1,11800
Heuristic-MADTSR,0,19,19,,0.0,100,40,0.5,0.05,l1,11800
RL-MADTSR,0,5,5,,0.0,100,40,0.5,0.05,l1,11800
Epidemic,0,10,48,,0.0,100,10,0.5,0.05,l1,33894
RandomWalk,0,8,8,,0.0,100,10,0.5,0.05,l1,33894
Heuristic-MADTSR,0,10,10,,0.0,100,10,0.5,0.05,l1,33894
RL-MADTSR,0,1,1,,0.0,100,10,0.5,0.05,l1,33894
Epidemic,0,20,69,,0.0,100,20,0.5,0.05,l1,33894
RandomWalk,0,10,10,,0.0,100,20,0.5,0.05,l1,33894
Heuristic-MADTSR,0,13,13,,0.0,100,20,0.5,0.05,l1,33894
RL-MADTSR,0,1,1,,0.0,100,20,0.5,0.05,l1,33894
Epidemic,0,30,70,,0.0,100,30,0.5,0.05,l1,33894
RandomWalk,0,10,10,,0.0,100,30,0.5,0.05,l1,33894
Heuristic-MADTSR,0,14,14,,0.0,100,30,0.5,0.05,l1,33894
RL-MADTSR,0,1,1,,0.0,100,30,0.5,0.05,l1,33894
Epidemic,0,40,70,,0.0,100,40,0.5,0.05,l1,33894
RandomWalk,0,5,5,,0.0,100,40,0.5,0.05,l1,33894
Heuristic-MADTSR,0,31,31,,0.0,100,40,0.5,0.05,l1,33894
RL-MADTSR,0,1,1,,0.0,100,40,0.5,0.05,l1,33894
Epidemic,0,10,10,,0.0,100,10,0.5,0.05,l1,96189
RandomWalk,0,3,3,,0.0,100,10,0.5,0.05,l1,96189
Heuristic-MADTSR,0,6,6,,0.0,100,10,0.5,0.05,l1,96189
RL-MADTSR,0,9,9,,0.0,100,10,0.5,0.05,l1,96189
Epidemic,0,20,10,,0.0,100,20,0.5,0.05,l1,96189
RandomWalk,0,10,10,,0.0,100,20,0.5,0.05,l1,96189
Heuristic-MADTSR,0,11,11,,0.0,100,20,0.5,0.05,l1,96189
RL-MADTSR,0,9,9,,0.0,100,20,0.5,0.05,l1,96189
Epidemic,0,30,10,,0.0,100,30,0.5,0.05,l1,96189
RandomWalk,0,4,4,,0.0,100,30,0.5,0.05,l1,96189
Heuristic-MADTSR,0,11,11,,0.0,100,30,0.5,0.05,l1,96189
RL-MADTSR,0,9,9,,0.0,100,30,0.5,0.05,l1,96189
Epidemic,0,40,10,,0.0,100,40,0.5,0.05,l1,96189
RandomWalk,0,6,6,,0.0,100,40,0.5,0.05,l1,96189
Heuristic-MADTSR,0,11,11,,0.0,100,40,0.5,0.05,l1,96189
RL-MADTSR,0,9,9,,0.0,100,40,0.5,0.05,l1,96189
Epidemic,0,10,22,,0.0,100,10,0.5,0.05,l1,36626
RandomWalk,0,10,10,,0.0,100,10,0.5,0.05,l1,36626
Heuristic-MADTSR,0,0,0,,0.0,100,10,0.5,0.05,l1,36626
RL-MADTSR,0,10,10,,0.0,100,10,0.5,0.05,l1,36626
Epidemic,0,20,22,,0.0,100,20,0.5,0.05,l1,36626
RandomWalk,0,11,11,,0.0,100,20,0.5,0.05,l1,36626
Heuristic-MADTSR,0,0,0,,0.0,100,20,0.5,0.05,l1,36626
RL-MADTSR,0,20,20,,0.0,100,20,0.5,0.05,l1,36626
Epidemic,0,30,22,,0.0,100,30,0.5,0.05,l1,36626
RandomWalk,1,5,6,0.38224121405783196,0.7110515858035664,100,30,0.5,0.05,l1,36626
Heuristic-MADTSR,0,0,0,,0.0,100,30,0.5,0.05,l1,36626
RL-MADTSR,0,20,20,,0.0,100,30,0.5,0.05,l1,36626
Epidemic,0,40,22,,0.0,100,40,0.5,0.05,l1,36626
RandomWalk,0,9,9,,0.0,100,40,0.5,0.05,l1,36626
Heuristic-MADTSR,0,0,0,,0.0,100,40,0.5,0.05,l1,36626
RL-MADTSR,0,20,20,,0.0,100,40,0.5,0.05,l1,36626
Epidemic,0,10,18,,0.0,100,10,0.5,0.05,l1,90858
RandomWalk,0,0,0,,0.0,100,10,0.5,0.05,l1,90858
Heuristic-MADTSR,0,10,10,,0.0,100,10,0.5,0.05,l1,90858
RL-MADTSR,0,8,8,,0.0,100,10,0.5,0.05,l1,90858
Epidemic,0,20,18,,0.0,100,20,0.5,0.05,l1,90858
RandomWalk,0,0,0,,0.0,100,20,0.5,0.05,l1,90858
Heuristic-MADTSR,0,7,7,,0.0,100,20,0.5,0.05,l1,90858
RL-MADTSR,0,8,8,,0.0,100,20,0.5,0.05,l1,90858
Epidemic,0,30,18,,0.0,100,30,0.5,0.05,l1,90858
RandomWalk,0,0,0,,0.0,100,30,0.5,0.05,l1,90858
Heuristic-MADTSR,0,7,7,,0.0,100,30,0.5,0.05,l1,90858
RL-MADTSR,0,8,8,,0.0,100,30,0.5,0.05,l1,90858
Epidemic,0,40,18,,0.0,100,40,0.5,0.05,l1,90858
RandomWalk,0,0,0,,0.0,100,40,0.5,0.05,l1,90858
Heuristic-MADTSR,0,7,7,,0.0,100,40,0.5,0.05,l1,90858
RL-MADTSR,0,8,8,,0.0,100,40,0.5,0.05,l1,90858
Epidemic,0,10,3,,0.0,100,10,0.5,0.05,l1,49506
RandomWalk,0,10,10,,0.0,100,10,0.5,0.05,l1,49506
Heuristic-MADTSR,0,10,10,,0.0,100,10,0.5,0.05,l1,49506
RL-MADTSR,0,2,2,,0.0,100,10,0.5,0.05,l1,49506
Epidemic,0,20,3,,0.0,100,20,0.5,0.05,l1,49506
RandomWalk,0,12,12,,0.0,100,20,0.5,0.05,l1,49506
Heuristic-MADTSR,0,13,13,,0.0,100,20,0.5,0.05,l1,49506
RL-MADTSR,0,2,2,,0.0,100,20,0.5,0.05,l1,49506
Epidemic,0,30,3,,0.0,100,30,0.5,0.05,l1,49506
RandomWalk,0,4,4,,0.0,100,30,0.5,0.05,l1,49506
Heuristic-MADTSR,0,30,30,,0.0,100,30,0.5,0.05,l1,49506
RL-MADTSR,0,2,2,,0.0,100,30,0.5,0.05,l1,49506
Epidemic,0,40,3,,0.0,100,40,0.5,0.05,l1,49506
RandomWalk,0,4,4,,0.0,100,40,0.5,0.05,l1,49506
Heuristic-MADTSR,0,14,14,,0.0,100,40,0.5,0.05,l1,49506
RL-MADTSR,0,2,2,,0.0,100,40,0.5,0.05,l1,49506
Epidemic,0,10,17,,0.0,100,10,0.5,0.05,l1,69970
RandomWalk,0,2,2,,0.0,100,10,0.5,0.05,l1,69970
Heuristic-MADTSR,0,10,10,,0.0,100,10,0.5,0.05,l1,69970
RL-MADTSR,0,1,1,,0.0,100,10,0.5,0.05,l1,69970
Epidemic,0,20,17,,0.0,100,20,0.5,0.05,l1,69970
RandomWalk,0,2,2,,0.0,100,20,0.5,0.05,l1,69970
Heuristic-MADTSR,0,8,8,,0.0,100,20,0.5,0.05,l1,69970
RL-MADTSR,0,1,1,,0.0,100,20,0.5,0.05,l1,69970
Epidemic,0,30,17,,0.0,100,30,0.5,0.05,l1,69970
RandomWalk,0,2,2,,0.0,100,30,0.5,0.05,l1,69970
Heuristic-MADTSR,0,16,16,,0.0,100,30,0.5,0.05,l1,69970
RL-MADTSR,0,1,1,,0.0,100,30,0.5,0.05,l1,69970
Epidemic,0,40,17,,0.0,100,40,0.5,0.05,l1,69970
RandomWalk,0,2,2,,0.0,100,40,0.5,0.05,l1,69970
Heuristic-MADTSR,0,14,14,,0.0,100,40,0.5,0.05,l1,69970
RL-MADTSR,0,1,1,,0.0,100,40,0.5,0.05,l1,69970
Epidemic,0,10,3,,0.0,100,10,0.5,0.05,l1,45741
RandomWalk,0,10,10,,0.0,100,10,0.5,0.05,l1,45741
Heuristic-MADTSR,0,2,2,,0.0,100,10,0.5,0.05,l1,45741
RL-MADTSR,0,5,5,,0.0,100,10,0.5,0.05,l1,45741
Epidemic,0,20,3,,0.0,100,20,0.5,0.05,l1,45741
RandomWalk,0,10,10,,0.0,100,20,0.5,0.05,l1,45741
Heuristic-MADTSR,0,2,2,,0.0,100,20,0.5,0.05,l1,45741
RL-MADTSR,0,5,5,,0.0,100,20,0.5,0.05,l1,45741
Epidemic,0,30,3,,0.0,100,30,0.5,0.05,l1,45741
RandomWalk,0,7,7,,0.0,100,30,0.5,0.05,l1,45741
Heuristic-MADTSR,0,2,2,,0.0,100,30,0.5,0.05,l1,45741
RL-MADTSR,0,5,5,,0.0,100,30,0.5,0.05,l1,45741
Epidemic,0,40,3,,0.0,100,40,0.5,0.05,l1,45741
RandomWalk,0,14,14,,0.0,100,40,0.5,0.05,l1,45741
Heuristic-MADTSR,0,2,2,,0.0,100,40,0.5,0.05,l1,45741
RL-MADTSR,0,5,5,,0.0,100,40,0.5,0.05,l1,45741
Epidemic,0,10,2,,0.0,100,10,0.5,0.05,l1,26586
RandomWalk,0,10,10,,0.0,100,10,0.5,0.05,l1,26586
Heuristic-MADTSR,0,8,8,,0.0,100,10,0.5,0.05,l1,26586
RL-MADTSR,0,5,5,,0.0,100,10,0.5,0.05,l1,26586
Epidemic,0,20,2,,0.0,100,20,0.5,0.05,l1,26586
RandomWalk,0,20,20,,0.0,100,20,0.5,0.05,l1,26586
Heuristic-MADTSR,0,2,2,,0.0,100,20,0.5,0.05,l1,26586
RL-MADTSR,0,5,5,,0.0,100,20,0.5,0.05,l1,26586
Epidemic,0,30,2,,0.0,100,30,0.5,0.05,l1,26586
RandomWalk,0,9,9,,0.0,100,30,0.5,0.05,l1,26586
Heuristic-MADTSR,0,8,8,,0.0,100,30,0.5,0.05,l1,26586
RL-MADTSR,0,5,5,,0.0,100,30,0.5,0.05,l1,26586
Epidemic,0,40,2,,0.0,100,40,0.5,0.05,l1,26586
RandomWalk,0,19,19,,0.0,100,40,0.5,0.05,l1,26586
Heuristic-MADTSR,0,2,2,,0.0,100,40,0.5,0.05,l1,26586
RL-MADTSR,0,5,5,,0.0,100,40,0.5,0.05,l1,26586
Epidemic,0,10,22,,0.0,100,10,0.5,0.05,l1,76422
RandomWalk,0,2,2,,0.0,100,10,0.5,0.05,l1,76422
Heuristic-MADTSR,0,7,7,,0.0,100,10,0.5,0.05,l1,76422
RL-MADTSR,0,10,10,,0.0,100,10,0.5,0.05,l1,76422
Epidemic,0,20,22,,0.0,100,20,0.5,0.05,l1,76422
RandomWalk,0,2,2,,0.0,100,20,0.5,0.05,l1,76422
Heuristic-MADTSR,0,7,7,,0.0,100,20,0.5,0.05,l1,76422
RL-MADTSR,0,13,13,,0.0,100,20,0.5,0.05,l1,76422
Epidemic,0,30,22,,0.0,100,30,0.5,0.05,l1,76422
RandomWalk,0,2,2,,0.0,100,30,0.5,0.05,l1,76422
Heuristic-MADTSR,0,7,7,,0.0,100,30,0.5,0.05,l1,76422
RL-MADTSR,0,13,13,,0.0,100,30,0.5,0.05,l1,76422
Epidemic,0,40,22,,0.0,100,40,0.5,0.05,l1,76422
RandomWalk,0,2,2,,0.0,100,40,0.5,0.05,l1,76422
Heuristic-MADTSR,0,8,8,,0.0,100,40,0.5,0.05,l1,76422
RL-MADTSR,0,13,13,,0.0,100,40,0.5,0.05,l1,76422
Epidemic,0,10,1,,0.0,100,10,0.5,0.05,l1,96917
RandomWalk,0,7,7,,0.0,100,10,0.5,0.05,l1,96917
Heuristic-MADTSR,0,2,2,,0.0,100,10,0.5,0.05,l1,96917
RL-MADTSR,0,10,10,,0.0,100,10,0.5,0.05,l1,96917
Epidemic,0,20,1,,0.0,100,20,0.5,0.05,l1,96917
RandomWalk,0,9,9,,0.0,100,20,0.5,0.05,l1,96917
Heuristic-MADTSR,0,2,2,,0.0,100,20,0.5,0.05,l1,96917
RL-MADTSR,0,10,10,,0.0,100,20,0.5,0.05,l1,96917
Epidemic,0,30,1,,0.0,100,30,0.5,0.05,l1,96917
RandomWalk,0,8,8,,0.0,100,30,0.5,0.05,l1,96917
Heuristic-MADTSR,0,2,2,,0.0,100,30,0.5,0.05,l1,96917
RL-MADTSR,0,10,10,,0.0,100,30,0.5,0.05,l1,96917
Epidemic,0,40,1,,0.0,100,40,0.5,0.05,l1,96917
RandomWalk,0,9,9,,0.0,100,40,0.5,0.05,l1,96917
Heuristic-MADTSR,0,2,2,,0.0,100,40,0.5,0.05,l1,96917
RL-MADTSR,0,10,10,,0.0,100,40,0.5,0.05,l1,96917
Epidemic,0,10,33,,0.0,100,10,0.5,0.05,l1,26352
RandomWalk,0,9,9,,0.0,100,10,0.5,0.05,l1,26352
Heuristic-MADTSR,0,8,8,,0.0,100,10,0.5,0.05,l1,26352
RL-MADTSR,0,5,5,,0.0,100,10,0.5,0.05,l1,26352
Epidemic,0,20,33,,0.0,100,20,0.5,0.05,l1,26352
RandomWalk,0,17,17,,0.0,100,20,0.5,0.05,l1,26352
Heuristic-MADTSR,0,8,8,,0.0,100,20,0.5,0.05,l1,26352
RL-MADTSR,0,5,5,,0.0,100,20,0.5,0.05,l1,26352
Epidemic,0,30,33,,0.0,100,30,0.5,0.05,l1,26352
RandomWalk,0,7,7,,0.0,100,30,0.5,0.05,l1,26352
Heuristic-MADTSR,0,8,8,,0.0,100,30,0.5,0.05,l1,26352
RL-MADTSR,0,5,5,,0.0,100,30,0.5,0.05,l1,26352
Epidemic,0,40,33,,0.0,100,40,0.5,0.05,l1,26352
RandomWalk,0,6,6,,0.0,100,40,0.5,0.05,l1,26352
Heuristic-MADTSR,0,8,8,,0.0,100,40,0.5,0.05,l1,26352
RL-MADTSR,0,5,5,,0.0,100,40,0.5,0.05,l1,26352
Epidemic,0,10,46,,0.0,100,10,0.5,0.05,l1,77875
RandomWalk,0,10,10,,0.0,100,10,0.5,0.05,l1,77875
Heuristic-MADTSR,0,5,5,,0.0,100,10,0.5,0.05,l1,77875
RL-MADTSR,0,6,6,,0.0,100,10,0.5,0.05,l1,77875
Epidemic,0,20,71,,0.0,100,20,0.5,0.05,l1,77875
RandomWalk,0,5,5,,0.0,100,20,0.5,0.05,l1,77875
Heuristic-MADTSR,0,6,6,,0.0,100,20,0.5,0.05,l1,77875
RL-MADTSR,0,6,6,,0.0,100,20,0.5,0.05,l1,77875
Epidemic,0,30,71,,0.0,100,30,0.5,0.05,l1,77875
RandomWalk,0,11,11,,0.0,100,30,0.5,0.05,l1,77875
Heuristic-MADTSR,0,7,7,,0.0,100,30,0.5,0.05,l1,77875
RL-MADTSR,0,6,6,,0.0,100,30,0.5,0.05,l1,77875
Epidemic,0,40,71,,0.0,100,40,0.5,0.05,l1,77875
RandomWalk,0,9,9,,0.0,100,40,0.5,0.05,l1,77875
Heuristic-MADTSR,0,7,7,,0.0,100,40,0.5,0.05,l1,77875
RL-MADTSR,0,6,6,,0.0,100,40,0.5,0.05,l1,77875
Epidemic,0,10,23,,0.0,100,10,0.5,0.05,l2,26114
RandomWalk,0,0,0,,0.0,100,10,0.5,0.05,l2,26114
Heuristic-MADTSR,0,10,10,,0.0,100,10,0.5,0.05,l2,26114
