protocol,success,hops,messages,match_error,utility,N,ttl,epsilon,alpha,metric,seed
RandomWalk,0,6,6,,0.0,100,30,0.5,0.0,l1,43301
Heuristic-MADTSR,0,4,4,,0.0,100,30,0.5,0.0,l1,43301
RL-MADTSR,0,12,12,,0.0,100,30,0.5,0.0,l1,43301
Epidemic,0,40,81,,0.0,100,40,0.5,0.0,l1,43301
RandomWalk,0,6,6,,0.0,100,40,0.5,0.0,l1,43301
Heuristic-MADTSR,0,4,4,,0.0,100,40,0.5,0.0,l1,43301
RL-MADTSR,0,12,12,,0.0,100,40,0.5,0.0,l1,43301
Epidemic,0,10,14,,0.0,100,10,0.5,0.0,l1,85859
RandomWalk,0,10,10,,0.0,100,10,0.5,0.0,l1,85859
Heuristic-MADTSR,0,10,10,,0.0,100,10,0.5,0.0,l1,85859
RL-MADTSR,0,10,10,,0.0,100,10,0.5,0.0,l1,85859
Epidemic,0,20,14,,0.0,100,20,0.5,0.0,l1,85859
RandomWalk,0,9,9,,0.0,100,20,0.5,0.0,l1,85859
Heuristic-MADTSR,0,19,19,,0.0,100,20,0.5,0.0,l1,85859
RL-MADTSR,0,20,20,,0.0,100,20,0.5,0.0,l1,85859
Epidemic,0,30,14,,0.0,100,30,0.5,0.0,l1,85859
RandomWalk,0,15,15,,0.0,100,30,0.5,0.0,l1,85859
Heuristic-MADTSR,0,11,11,,0.0,100,30,0.5,0.0,l1,85859
RL-MADTSR,0,25,25,,0.0,100,30,0.5,0.0,l1,85859
Epidemic,0,40,14,,0.0,100,40,0.5,0.0,l1,85859
RandomWalk,0,9,9,,0.0,100,40,0.5,0.0,l1,85859
Heuristic-MADTSR,0,5,5,,0.0,100,40,0.5,0.0,l1,85859
RL-MADTSR,0,25,25,,0.0,100,40,0.5,0.0,l1,85859
Epidemic,0,10,15,,0.0,100,10,0.5,0.0,l1,8594
RandomWalk,0,5,5,,0.0,100,10,0.5,0.0,l1,8594
Heuristic-MADTSR,0,3,3,,0.0,100,10,0.5,0.0,l1,8594
RL-MADTSR,0,8,8,,0.0,100,10,0.5,0.0,l1,8594
Epidemic,0,20,15,,0.0,100,20,0.5,0.0,l1,8594
RandomWalk,0,6,6,,0.0,100,20,0.5,0.0,l1,8594
Heuristic-MADTSR,0,3,3,,0.0,100,20,0.5,0.0,l1,8594
RL-MADTSR,0,8,8,,0.0,100,20,0.5,0.0,l1,8594
Epidemic,0,30,15,,0.0,100,30,0.5,0.0,l1,8594
RandomWalk,0,10,10,,0.0,100,30,0.5,0.0,l1,8594
Heuristic-MADTSR,0,3,3,,0.0,100,30,0.5,0.0,l1,8594
RL-MADTSR,0,8,8,,0.0,100,30,0.5,0.0,l1,8594
Epidemic,0,40,15,,0.0,100,40,0.5,0.0,l1,8594
RandomWalk,0,17,17,,0.0,100,40,0.5,0.0,l1,8594
Heuristic-MADTSR,0,3,3,,0.0,100,40,0.5,0.0,l1,8594
RL-MADTSR,0,8,8,,0.0,100,40,0.5,0.0,l1,8594
Epidemic,1,7,35,0.36500397831707265,0.3448911947429106,100,10,0.5,0.0,l1,69736
RandomWalk,0,7,7,,0.0,100,10,0.5,0.0,l1,69736
Heuristic-MADTSR,0,2,2,,0.0,100,10,0.5,0.0,l1,69736
RL-MADTSR,0,5,5,,0.0,100,10,0.5,0.0,l1,69736
Epidemic,1,7,35,0.36500397831707265,0.3448911947429106,100,20,0.5,0.0,l1,69736
RandomWalk,0,8,8,,0.0,100,20,0.5,0.0,l1,69736
Heuristic-MADTSR,0,2,2,,0.0,100,20,0.5,0.0,l1,69736
RL-MADTSR,0,5,5,,0.0,100,20,0.5,0.0,l1,69736
Epidemic,1,7,35,0.36500397831707265,0.3448911947429106,100,30,0.5,0.0,l1,69736
RandomWalk,0,9,9,,0.0,100,30,0.5,0.0,l1,69736
Heuristic-MADTSR,0,2,2,,0.0,100,30,0.5,0.0,l1,69736
RL-MADTSR,0,5,5,,0.0,100,30,0.5,0.0,l1,69736
Epidemic,1,7,35,0.36500397831707265,0.3448911947429106,100,40,0.5,0.0,l1,69736
RandomWalk,0,10,10,,0.0,100,40,0.5,0.0,l1,69736
Heuristic-MADTSR,0,2,2,,0.0,100,40,0.5,0.0,l1,69736
RL-MADTSR,0,5,5,,0.0,100,40,0.5,0.0,l1,69736
Epidemic,0,10,22,,0.0,100,10,0.5,0.0,l1,20146
RandomWalk,0,10,10,,0.0,100,10,0.5,0.0,l1,20146
Heuristic-MADTSR,0,3,3,,0.0,100,10,0.5,0.0,l1,20146
RL-MADTSR,0,6,6,,0.0,100,10,0.5,0.0,l1,20146
Epidemic,0,20,22,,0.0,100,20,0.5,0.0,l1,20146
RandomWalk,0,12,12,,0.0,100,20,0.5,0.0,l1,20146
Heuristic-MADTSR,0,3,3,,0.0,100,20,0.5,0.0,l1,20146
RL-MADTSR,0,6,6,,0.0,100,20,0.5,0.0,l1,20146
Epidemic,0,30,22,,0.0,100,30,0.5,0.0,l1,20146
RandomWalk,0,11,11,,0.0,100,30,0.5,0.0,l1,20146
Heuristic-MADTSR,0,3,3,,0.0,100,30,0.5,0.0,l1,20146
RL-MADTSR,0,6,6,,0.0,100,30,0.5,0.0,l1,20146
Epidemic,0,40,22,,0.0,100,40,0.5,0.0,l1,20146
RandomWalk,0,6,6,,0.0,100,40,0.5,0.0,l1,20146
Heuristic-MADTSR,0,3,3,,0.0,100,40,0.5,0.0,l1,20146
RL-MADTSR,0,6,6,,0.0,100,40,0.5,0.0,l1,20146
Epidemic,0,10,37,,0.0,100,10,0.5,0.0,l1,9417
RandomWalk,0,10,10,,0.0,100,10,0.5,0.0,l1,9417
Heuristic-MADTSR,0,10,10,,0.0,100,10,0.5,0.0,l1,9417
RL-MADTSR,0,4,4,,0.0,100,10,0.5,0.0,l1,9417
Epidemic,0,20,50,,0.0,100,20,0.5,0.0,l1,9417
RandomWalk,0,6,6,,0.0,100,20,0.5,0.0,l1,9417
Heuristic-MADTSR,0,12,12,,0.0,100,20,0.5,0.0,l1,9417
RL-MADTSR,0,4,4,,0.0,100,20,0.5,0.0,l1,9417
Epidemic,0,30,50,,0.0,100,30,0.5,0.0,l1,9417
RandomWalk,0,8,8,,0.0,100,30,0.5,0.0,l1,9417
Heuristic-MADTSR,0,4,4,,0.0,100,30,0.5,0.0,l1,9417
RL-MADTSR,0,4,4,,0.0,100,30,0.5,0.0,l1,9417
Epidemic,0,40,50,,0.0,100,40,0.5,0.0,l1,9417
RandomWalk,0,8,8,,0.0,100,40,0.5,0.0,l1,9417
Heuristic-MADTSR,0,11,11,,0.0,100,40,0.5,0.0,l1,9417
RL-MADTSR,0,4,4,,0.0,100,40,0.5,0.0,l1,9417
Epidemic,0,10,6,,0.0,100,10,0.5,0.0,l1,52647
RandomWalk,0,6,6,,0.0,100,10,0.5,0.0,l1,52647
Heuristic-MADTSR,0,7,7,,0.0,100,10,0.5,0.0,l1,52647
RL-MADTSR,0,10,10,,0.0,100,10,0.5,0.0,l1,52647
Epidemic,0,20,6,,0.0,100,20,0.5,0.0,l1,52647
RandomWalk,0,5,5,,0.0,100,20,0.5,0.0,l1,52647
Heuristic-MADTSR,0,8,8,,0.0,100,20,0.5,0.0,l1,52647
RL-MADTSR,0,18,18,,0.0,100,20,0.5,0.0,l1,52647
Epidemic,0,30,6,,0.0,100,30,0.5,0.0,l1,52647
RandomWalk,0,6,6,,0.0,100,30,0.5,0.0,l1,52647
Heuristic-MADTSR,0,4,4,,0.0,100,30,0.5,0.0,l1,52647
RL-MADTSR,0,18,18,,0.0,100,30,0.5,0.0,l1,52647
Epidemic,0,40,6,,0.0,100,40,0.5,0.0,l1,52647
RandomWalk,0,6,6,,0.0,100,40,0.5,0.0,l1,52647
Heuristic-MADTSR,0,7,7,,0.0,100,40,0.5,0.0,l1,52647
RL-MADTSR,0,18,18,,0.0,100,40,0.5,0.0,l1,52647
Epidemic,0,10,48,,0.0,100,10,0.5,0.0,l1,97562
RandomWalk,0,10,10,,0.0,100,10,0.5,0.0,l1,97562
Heuristic-MADTSR,0,10,10,,0.0,100,10,0.5,0.0,l1,97562
RL-MADTSR,0,6,6,,0.0,100,10,0.5,0.0,l1,97562
Epidemic,0,20,69,,0.0,100,20,0.5,0.0,l1,97562
RandomWalk,0,6,6,,0.0,100,20,0.5,0.0,l1,97562
Heuristic-MADTSR,0,13,13,,0.0,100,20,0.5,0.0,l1,97562
RL-MADTSR,0,6,6,,0.0,100,20,0.5,0.0,l1,97562
Epidemic,0,30,69,,0.0,100,30,0.5,0.0,l1,97562
RandomWalk,0,6,6,,0.0,100,30,0.5,0.0,l1,97562
Heuristic-MADTSR,0,24,24,,0.0,100,30,0.5,0.0,l1,97562
RL-MADTSR,0,6,6,,0.0,100,30,0.5,0.0,l1,97562
Epidemic,0,40,69,,0.0,100,40,0.5,0.0,l1,97562
RandomWalk,0,9,9,,0.0,100,40,0.5,0.0,l1,97562
Heuristic-MADTSR,0,8,8,,0.0,100,40,0.5,0.0,l1,97562
RL-MADTSR,0,6,6,,0.0,100,40,0.5,0.0,l1,97562
Epidemic,0,10,9,,0.0,100,10,0.5,0.0,l1,73575
RandomWalk,0,9,9,,0.0,100,10,0.5,0.0,l1,73575
Heuristic-MADTSR,0,0,0,,0.0,100,10,0.5,0.0,l1,73575
RL-MADTSR,0,2,2,,0.0,100,10,0.5,0.0,l1,73575
Epidemic,0,20,9,,0.0,100,20,0.5,0.0,l1,73575
RandomWalk,0,20,20,,0.0,100,20,0.5,0.0,l1,73575
Heuristic-MADTSR,0,0,0,,0.0,100,20,0.5,0.0,l1,73575
RL-MADTSR,0,2,2,,0.0,100,20,0.5,0.0,l1,73575
Epidemic,0,30,9,,0.0,100,30,0.5,0.0,l1,73575
RandomWalk,0,6,6,,0.0,100,30,0.5,0.0,l1,73575
Heuristic-MADTSR,0,0,0,,0.0,100,30,0.5,0.0,l1,73575
RL-MADTSR,0,2,2,,0.0,100,30,0.5,0.0,l1,73575
Epidemic,0,40,9,,0.0,100,40,0.5,0.0,l1,73575
RandomWalk,0,10,10,,0.0,100,40,0.5,0.0,l1,73575
Heuristic-MADTSR,0,0,0,,0.0,100,40,0.5,0.0,l1,73575
RL-MADTSR,0,2,2,,0.0,100,40,0.5,0.0,l1,73575
Epidemic,0,10,28,,0.0,100,10,0.5,0.0,l1,76113
RandomWalk,0,3,3,,0.0,100,10,0.5,0.0,l1,76113
Heuristic-MADTSR,0,9,9,,0.0,100,10,0.5,0.0,l1,76113
RL-MADTSR,0,0,0,,0.0,100,10,0.5,0.0,l1,76113
Epidemic,0,20,28,,0.0,100,20,0.5,0.0,l1,76113
RandomWalk,0,3,3,,0.0,100,20,0.5,0.0,l1,76113
Heuristic-MADTSR,0,9,9,,0.0,100,20,0.5,0.0,l1,76113
RL-MADTSR,0,0,0,,0.0,100,20,0.5,0.0,l1,76113
Epidemic,0,30,28,,0.0,100,30,0.5,0.0,l1,76113
RandomWalk,0,3,3,,0.0,100,30,0.5,0.0,l1,76113
Heuristic-MADTSR,0,8,8,,0.0,100,30,0.5,0.0,l1,76113
RL-MADTSR,0,0,0,,0.0,100,30,0.5,0.0,l1,76113
Epidemic,0,40,28,,0.0,100,40,0.5,0.0,l1,76113
RandomWalk,0,3,3,,0.0,100,40,0.5,0.0,l1,76113
Heuristic-MADTSR,0,9,9,,0.0,100,40,0.5,0.0,l1,76113
RL-MADTSR,0,0,0,,0.0,100,40,0.5,0.0,l1,76113
Epidemic,0,10,10,,0.0,100,10,0.5,0.0,l1,71747
RandomWalk,0,7,7,,0.0,100,10,0.5,0.0,l1,71747
Heuristic-MADTSR,0,10,10,,0.0,100,10,0.5,0.0,l1,71747
RL-MADTSR,0,9,9,,0.0,100,10,0.5,0.0,l1,71747
Epidemic,0,20,10,,0.0,100,20,0.5,0.0,l1,71747
RandomWalk,0,11,11,,0.0,100,20,0.5,0.0,l1,71747
Heuristic-MADTSR,0,20,20,,0.0,100,20,0.5,0.0,l1,71747
RL-MADTSR,0,9,9,,0.0,100,20,0.5,0.0,l1,71747
Epidemic,0,30,10,,0.0,100,30,0.5,0.0,l1,71747
RandomWalk,0,7,7,,0.0,100,30,0.5,0.0,l1,71747
Heuristic-MADTSR,0,13,13,,0.0,100,30,0.5,0.0,l1,71747
RL-MADTSR,0,9,9,,0.0,100,30,0.5,0.0,l1,71747
Epidemic,0,40,10,,0.0,100,40,0.5,0.0,l1,71747
RandomWalk,0,12,12,,0.0,100,40,0.5,0.0,l1,71747
Heuristic-MADTSR,0,7,7,,0.0,100,40,0.5,0.0,l1,71747
RL-MADTSR,0,9,9,,0.0,100,40,0.5,0.0,l1,71747
Epidemic,0,10,26,,0.0,100,10,0.5,0.0,l1,78606
RandomWalk,0,4,4,,0.0,100,10,0.5,0.0,l1,78606
Heuristic-MADTSR,0,8,8,,0.0,100,10,0.5,0.0,l1,78606
RL-MADTSR,0,3,3,,0.0,100,10,0.5,0.0,l1,78606
Epidemic,0,20,26,,0.0,100,20,0.5,0.0,l1,78606
RandomWalk,0,15,15,,0.0,100,20,0.5,0.0,l1,78606
Heuristic-MADTSR,0,9,9,,0.0,100,20,0.5,0.0,l1,78606
RL-MADTSR,0,3,3,,0.0,100,20,0.5,0.0,l1,78606
Epidemic,0,30,26,,0.0,100,30,0.5,0.0,l1,78606
RandomWalk,0,17,17,,0.0,100,30,0.5,0.0,l1,78606
Heuristic-MADTSR,0,6,6,,0.0,100,30,0.5,0.0,l1,78606
RL-MADTSR,0,3,3,,0.0,100,30,0.5,0.0,l1,78606
